id,nome,posição,idade,data_nascimento,nacionalidade,time,liga,total_jogos,jogos_escalados,minutos_jogados,gols_sofridos,defesas,gols,assistências,total_chutes,chutes_no_gol,dribles_tentados,dribles_realizados,total_passes,passes_chaves,índice_passes_certos,desarmes,faltas_sofridas,faltas_cometidas
1058,Rafael Forster,Defender,31,23/07/1990,Brazil,Botafogo,Brasileiro Série A,21,18,1485,0,0,0,0,8,1,21,11,732,9,43,22,18,21
9418,Guilherme Santos,Defender,33,05/02/1988,Brazil,Botafogo,Brasileiro Série A,12,8,731,0,0,0,1,6,1,13,8,239,7,43,12,10,17
10059,Kanu,Defender,24,07/03/1997,Brazil,Botafogo,Brasileiro Série A,31,31,2790,0,0,0,1,11,2,12,10,1470,4,50,32,30,30
9882,José Welison,Midfielder,26,11/03/1995,Brazil,Botafogo,Brasileiro Série A,14,13,995,0,0,0,1,5,0,19,11,473,9,28,24,12,20
10064,Rhuan,Midfielder,21,25/01/2000,Brazil,Botafogo,Brasileiro Série A,23,11,972,0,0,0,1,18,4,40,22,181,13,16,5,27,5
6857,K. Honda,Midfielder,35,13/06/1986,Japan,Botafogo,Brasileiro Série A,18,15,1294,0,0,2,0,18,7,17,11,691,27,42,24,12,24
25352,S. Kalou,Midfielder,36,05/08/1985,Côte d'Ivoire,Botafogo,Brasileiro Série A,23,11,1074,0,0,1,0,22,9,33,13,312,16,10,9,19,17
13369,C. Rentería,Midfielder,26,05/07/1995,Colombia,Botafogo,Brasileiro Série A,10,6,496,0,0,0,0,3,2,4,1,155,1,14,11,6,13
180236,Caio Alexandre,Midfielder,22,24/02/1999,Brazil,Botafogo,Brasileiro Série A,30,29,2384,0,0,4,0,24,9,29,16,1162,26,42,42,54,55
159718,Matheus Babi,Attacker,24,18/07/1997,Brazil,Botafogo,Brasileiro Série A,29,20,1999,0,0,7,1,38,16,32,18,363,19,19,18,64,63
10144,Bruno Nazário,Attacker,26,09/02/1995,Brazil,Botafogo,Brasileiro Série A,24,21,1729,0,0,1,2,27,10,38,25,635,37,33,35,37,32
9329,Pedro Raul,Attacker,25,05/11/1996,Brazil,Botafogo,Brasileiro Série A,25,19,1744,0,0,7,1,53,27,41,15,405,16,17,17,30,36
12788,Ramires,Midfielder,33,24/03/1987,Brazil,Palmeiras,Brasileiro Série A,16,4,548,0,0,0,0,4,2,7,6,279,2,34,19,9,13
9921,Bruno Henrique Corsini,Midfielder,32,21/10/1989,Brazil,Palmeiras,Brasileiro Série A,13,7,629,0,0,0,0,10,3,7,6,414,10,50,11,7,17
9902,Jaílson,Goalkeeper,40,20/07/1981,Brazil,Palmeiras,Brasileiro Série A,5,5,450,7,10,0,0,0,0,0,0,102,0,25,0,1,0
2410,Weverton,Goalkeeper,34,13/12/1987,Brazil,Palmeiras,Brasileiro Série A,26,26,2340,23,80,0,0,0,0,0,0,683,1,26,0,0,0
9913,Luan Garcia Teixeira,Defender,28,10/05/1993,Brazil,Palmeiras,Brasileiro Série A,24,20,1827,0,0,0,0,5,0,5,5,995,5,45,23,10,15
2502,Gustavo Raúl Gómez Portillo,Defender,28,06/05/1993,Paraguay,Palmeiras,Brasileiro Série A,18,18,1576,0,0,1,1,9,3,3,2,940,9,57,11,20,24
11365,B. Kuscevic,Defender,25,02/05/1996,Chile,Palmeiras,Brasileiro Série A,6,4,383,0,0,0,0,3,1,1,1,186,1,33,10,7,7
30925,Alan Empereur,Defender,27,10/03/1994,Brazil,Palmeiras,Brasileiro Série A,7,4,428,0,0,0,0,1,0,0,0,231,0,29,3,5,10
9916,Marcos Rocha,Defender,33,11/12/1988,Brazil,Palmeiras,Brasileiro Série A,19,15,1281,0,0,0,0,1,0,15,8,741,24,41,43,14,26
9917,Mayke,Defender,29,10/11/1992,Brazil,Palmeiras,Brasileiro Série A,16,12,997,0,0,0,0,1,0,12,7,519,7,34,21,11,14
10385,Emerson Santos,Defender,26,05/04/1995,Brazil,Palmeiras,Brasileiro Série A,11,9,821,0,0,0,0,4,2,0,0,396,2,29,12,5,15
51572,M. Viña,Defender,24,09/11/1997,Uruguay,Palmeiras,Brasileiro Série A,21,21,1757,0,0,0,2,10,1,20,10,640,15,29,46,26,27
9918,Lucas Rafael Araujo Lima,Midfielder,31,09/07/1990,Brazil,Palmeiras,Brasileiro Série A,26,19,1576,0,0,0,2,9,3,26,18,686,40,35,37,31,30
9920,Raphael Veiga,Midfielder,26,19/06/1995,Brazil,Palmeiras,Brasileiro Série A,22,17,1352,0,0,11,1,36,22,30,16,561,28,27,10,30,26
195109,Patrick de Paula,Midfielder,22,08/09/1999,Brazil,Palmeiras,Brasileiro Série A,21,19,1555,0,0,3,1,33,11,16,10,875,13,47,28,23,24
275170,Danilo,Midfielder,20,29/04/2001,Brazil,Palmeiras,Brasileiro Série A,15,6,693,0,0,0,0,8,2,16,13,345,0,19,13,11,15
9926,Gustavo Scarpa,Midfielder,27,05/01/1994,Brazil,Palmeiras,Brasileiro Série A,19,5,696,0,0,0,2,16,7,12,8,301,19,25,6,15,10
9929,Felipe Melo,Midfielder,38,26/06/1983,Brazil,Palmeiras,Brasileiro Série A,10,9,826,0,0,0,0,3,0,3,3,459,3,38,12,9,14
195111,Gabriel Menino,Midfielder,21,29/09/2000,Brazil,Palmeiras,Brasileiro Série A,24,22,1795,0,0,1,5,20,5,49,28,921,34,44,30,47,35
9932,Zé Rafael,Midfielder,28,16/06/1993,Brazil,Palmeiras,Brasileiro Série A,24,20,1604,0,0,2,3,23,8,43,28,802,21,42,40,47,45
10143,Rony,Attacker,26,11/05/1995,Brazil,Palmeiras,Brasileiro Série A,20,13,1069,0,0,4,1,33,17,44,25,217,10,23,16,28,34
1793,Luiz Adriano,Attacker,34,12/04/1987,Brazil,Palmeiras,Brasileiro Série A,21,17,1357,0,0,10,3,22,16,10,8,239,18,25,5,22,17
180235,Gabriel Veron,Attacker,19,03/09/2002,Brazil,Palmeiras,Brasileiro Série A,18,8,826,0,0,4,1,11,6,35,19,256,13,10,18,15,14
9936,Willian,Attacker,35,19/11/1986,Brazil,Palmeiras,Brasileiro Série A,28,15,1528,0,0,7,4,35,15,24,18,355,17,24,11,27,22
70314,Wesley,Attacker,22,30/03/1999,Brazil,Palmeiras,Brasileiro Série A,13,8,684,0,0,2,2,23,12,29,20,159,7,16,17,21,13
53966,Breno,Attacker,25,24/01/1996,Brazil,Palmeiras,Brasileiro Série A,11,5,575,0,0,0,0,5,1,13,9,173,5,15,3,5,8
10359,L. Barcia,Attacker,28,08/10/1992,Uruguay,Sport Recife,Brasileiro Série A,16,10,1025,0,0,3,0,13,9,14,6,256,10,16,26,21,17
9963,J. Gómez,Midfielder,32,21/12/1989,Argentina,Sport Recife,Brasileiro Série A,24,12,982,0,0,1,0,15,3,16,11,446,12,32,20,33,23
9585,Elton Rodrigues Brandão,Attacker,36,01/08/1985,Brazil,Sport Recife,Brasileiro Série A,9,9,656,0,0,2,0,15,7,6,3,128,9,49,2,4,18
9556,Luan Polli,Goalkeeper,28,06/04/1993,Brazil,Sport Recife,Brasileiro Série A,25,25,2250,31,92,0,0,0,0,2,2,566,1,12,0,2,1
9557,Mailson Tenorio dos Santos,Goalkeeper,25,20/08/1996,Brazil,Sport Recife,Brasileiro Série A,7,7,630,10,21,0,0,0,0,0,0,74,0,45,0,0,1
9558,Chico,Defender,23,14/09/1998,Brazil,Sport Recife,Brasileiro Série A,11,6,581,0,0,0,0,1,0,1,1,267,2,48,9,2,7
197383,Luciano,Defender,22,29/08/1999,Brazil,Sport Recife,Brasileiro Série A,16,8,875,0,0,0,2,3,1,11,7,372,12,31,9,2,9
9559,Sander,Defender,31,03/10/1990,Brazil,Sport Recife,Brasileiro Série A,21,14,1214,0,0,0,0,6,2,17,9,558,12,39,32,40,22
9865,Patric,Defender,32,25/03/1989,Brazil,Sport Recife,Brasileiro Série A,31,31,2790,0,0,1,4,22,7,36,19,1239,37,41,35,34,37
9868,Iago Maidana,Defender,25,06/02/1996,Brazil,Sport Recife,Brasileiro Série A,29,29,2560,0,0,5,1,16,6,4,3,1287,4,44,20,20,33
9565,Raul Prata,Defender,34,14/07/1987,Brazil,Sport Recife,Brasileiro Série A,10,7,574,0,0,0,0,1,1,6,4,207,4,16,5,4,6
9566,Adryelson,Defender,23,23/03/1998,Brazil,Sport Recife,Brasileiro Série A,30,30,2678,0,0,0,0,14,3,4,2,1112,2,39,16,19,38
30449,Junior Tavares,Defender,25,07/08/1996,Brazil,Sport Recife,Brasileiro Série A,14,9,810,0,0,0,0,6,1,16,9,417,11,25,13,22,15
50633,Marcão,Midfielder,30,14/01/1991,Brazil,Sport Recife,Brasileiro Série A,21,17,1504,0,0,1,0,11,2,19,13,565,5,29,30,15,39
9572,Ronaldo,Midfielder,27,27/06/1994,Brazil,Sport Recife,Brasileiro Série A,18,12,880,0,0,0,0,5,0,3,2,467,4,25,14,14,23
65837,Lucas Andrés Mugni,Midfielder,29,12/01/1992,Argentina,Sport Recife,Brasileiro Série A,23,17,1539,0,0,1,3,12,3,47,27,619,17,29,58,14,24
80153,Roberto Pimenta Vinagre Filho,Midfielder,29,04/04/1992,Brazil,Sport Recife,Brasileiro Série A,19,13,1184,0,0,0,1,8,1,6,6,599,16,43,40,22,32
9750,Ricardinho,Midfielder,32,27/03/1989,Brazil,Sport Recife,Brasileiro Série A,25,20,1641,0,0,0,0,9,4,13,9,579,3,32,38,36,21
10253,Marquinhos,Midfielder,24,26/01/1997,Brazil,Sport Recife,Brasileiro Série A,27,24,1804,0,0,3,1,20,5,61,32,581,17,30,28,89,36
53958,Dalberto,Attacker,27,15/09/1994,Brazil,Sport Recife,Brasileiro Série A,9,9,784,0,0,1,0,14,7,22,11,152,4,12,6,8,17
10098,Thiago Neves,Attacker,36,27/02/1985,Brazil,Sport Recife,Brasileiro Série A,19,18,1539,0,0,5,0,4,0,7,3,70,3,77,0,0,1
9587,Hernane,Attacker,35,08/04/1986,Brazil,Sport Recife,Brasileiro Série A,20,7,605,0,0,2,0,7,3,4,1,122,3,19,6,25,9
10307,Digão,Defender,32,07/05/1988,Brazil,Fluminense,Brasileiro Série A,10,9,786,0,0,2,0,6,3,2,1,403,0,42,7,7,10
10314,Dodi,Midfielder,25,17/04/1996,Brazil,Fluminense,Brasileiro Série A,19,19,1707,0,0,1,0,15,4,30,16,949,4,60,39,33,23
152856,Evanilson,Attacker,22,06/10/1999,Brazil,Fluminense,Brasileiro Série A,6,6,491,0,0,2,0,6,5,13,9,96,8,73,5,23,8
41227,Muriel,Goalkeeper,34,14/02/1987,Brazil,Fluminense,Brasileiro Série A,19,19,1710,20,48,0,0,0,0,2,2,313,0,21,0,6,0
10298,Marcos Felipe,Goalkeeper,25,13/04/1996,Brazil,Fluminense,Brasileiro Série A,13,13,1170,20,29,0,1,0,0,0,0,267,2,16,0,2,0
