id,nome,posição,idade,data_nascimento,nacionalidade,time,id_liga,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,índice_passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados,chutes/min,chutes_no_gol/min,gols/min,sofridos/min,assistências/min,defesas/min,passes/min,passes_chaves/min,desarmes/min,dribles_tentados/min,dribles_realizados/min,faltas_sofridas/min,faltas_cometidas/min
52645,Guillermo Orlando Fernández Gagliardi,Attacker,33,21/01/1988,Venezuela,Aragua FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,679,6,0.0,0.0,0.0014727540500736377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53074,José Alejandro Rivas Méndez,Attacker,22,13/09/1998,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,1120,12,0.0,0.0,0.008035714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52830,Yorwin de Jesús Lobo Peña,Midfielder,28,26/07/1993,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,594,6,0.0,0.0,0.0016835016835016834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52840,W. Mena,Attacker,34,02/07/1987,Colombia,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,530,7,0.0,0.0,0.007547169811320755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52810,Alejandro José Araque Peña,Goalkeeper,25,26/05/1996,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1765,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52829,Omar Alberto Labrador Gutiérrez,Defender,29,18/02/1992,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,360,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52817,Daniel Orlando Linarez Cordero,Defender,29,23/03/1992,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,1439,16,0.0,0.0,0.0020847810979847115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52957,José Luis Marrufo Jiménez,Defender,25,12/05/1996,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1434,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52818,José Manuel Manríquez Hernández,Defender,34,19/03/1987,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1137,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170435,Edison José Penilla Herrera,Defender,25,06/01/1996,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,773,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52822,Ronaldo David Rivas Vielma,Defender,22,31/10/1999,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,770,9,0.0,0.0,0.0012987012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288487,Jhonder José Gomez Bueno,Defender,19,24/04/2002,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1002,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52826,Christian Leonardo Flores Calderón,Midfielder,33,03/04/1988,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,1131,12,0.0,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
