id,nome,posição,idade,data_nascimento,nacionalidade,time,id_liga,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,%passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados,chutes/min,chutes_no_gol/min,gols/min,sofridos/min,assistências/min,defesas/min,passes/min,passes_chaves/min,desarmes/min,dribles_tentados/min,dribles_realizados/min,faltas_sofridas/min,faltas_cometidas/min
10320,Daniel,Midfielder,25,11/01/1996,Brazil,Bahia,1396.0,Brasileiro Série A,14,8,3,0,2,0,824,43,41,12,21,16,34,16,23,1287,13,0.010878010878010878,0.006216006216006216,0.002331002331002331,0.0,0.001554001554001554,0.0,0.6402486402486403,0.03341103341103341,0.009324009324009324,0.016317016317016316,0.012432012432012432,0.02641802641802642,0.012432012432012432
10258,Clayson,Attacker,26,19/03/1995,Brazil,Bahia,1396.0,Brasileiro Série A,18,8,3,0,1,0,289,19,23,12,37,23,16,18,21,733,6,0.02455661664392906,0.010914051841746248,0.004092769440654843,0.0,0.001364256480218281,0.0,0.3942701227830832,0.02592087312414734,0.01637107776261937,0.0504774897680764,0.03137789904502047,0.021828103683492497,0.02455661664392906
10041,Gilberto,Attacker,32,05/06/1989,Brazil,Bahia,1396.0,Brasileiro Série A,59,29,7,0,1,0,308,13,15,13,23,14,41,32,26,1798,23,0.03281423804226919,0.016129032258064516,0.00389321468298109,0.0,0.0005561735261401557,0.0,0.17130144605116795,0.007230255839822024,0.007230255839822024,0.012791991101223582,0.00778642936596218,0.022803114571746386,0.017797552836484983
10578,Rossi,Attacker,28,22/04/1993,Brazil,Bahia,1396.0,Brasileiro Série A,19,9,2,0,1,0,344,20,21,12,30,17,29,18,25,1413,13,0.013446567586694975,0.006369426751592357,0.0014154281670205238,0.0,0.0007077140835102619,0.0,0.2434536447275301,0.014154281670205236,0.008492569002123142,0.021231422505307854,0.012031139419674451,0.020523708421797595,0.012738853503184714
10042,Elber,Attacker,29,27/05/1992,Brazil,Bahia,1396.0,Brasileiro Série A,29,16,3,0,2,0,599,30,38,6,53,39,40,10,22,1431,17,0.02026554856743536,0.011180992313067784,0.0020964360587002098,0.0,0.001397624039133473,0.0,0.4185883997204752,0.020964360587002098,0.0041928721174004195,0.037037037037037035,0.027253668763102725,0.027952480782669462,0.0069881201956673656
197059,Saldanha,Attacker,22,18/08/1999,Brazil,Bahia,1396.0,Brasileiro Série A,13,4,2,0,0,0,70,3,25,1,23,14,10,12,17,361,0,0.036011080332409975,0.0110803324099723,0.00554016620498615,0.0,0.0,0.0,0.19390581717451524,0.008310249307479225,0.002770083102493075,0.06371191135734072,0.038781163434903045,0.027700831024930747,0.0332409972299169
10391,A. D&apos;Alessandro,Midfielder,39,15/04/1981,Argentina,Internacional,1396.0,Brasileiro Série A,5,3,0,0,0,0,379,16,27,8,7,7,11,5,20,529,4,0.00945179584120983,0.005671077504725898,0.0,0.0,0.0,0.0,0.7164461247637051,0.030245746691871456,0.015122873345935728,0.013232514177693762,0.013232514177693762,0.020793950850661626,0.00945179584120983
47577,D. Musto,Midfielder,33,09/06/1987,Argentina,Internacional,1396.0,Brasileiro Série A,3,1,1,0,0,0,451,4,51,13,2,2,13,24,14,629,6,0.0047694753577106515,0.001589825119236884,0.001589825119236884,0.0,0.0,0.0,0.7170111287758346,0.006359300476947536,0.02066772655007949,0.003179650238473768,0.003179650238473768,0.02066772655007949,0.03815580286168521
10372,Marcelo Lomba do Nascimento,Goalkeeper,35,18/12/1986,Brazil,Internacional,1396.0,Brasileiro Série A,0,0,0,25,0,51,644,0,23,1,1,1,2,0,28,2518,28,0.0,0.0,0.0,0.009928514694201748,0.0,0.020254169976171566,0.255758538522637,0.0,0.0003971405877680699,0.0003971405877680699,0.0003971405877680699,0.0007942811755361397,0.0
10013,Moisés,Defender,25,11/03/1995,Brazil,Internacional,1396.0,Brasileiro Série A,7,1,0,0,2,0,568,14,48,34,19,10,7,35,16,1279,14,0.00547302580140735,0.0007818608287724785,0.0,0.0,0.001563721657544957,0.0,0.4440969507427678,0.0109460516028147,0.026583268178264268,0.014855355746677092,0.007818608287724784,0.00547302580140735,0.027365129007036748
